,no,front_width,front_height,depth,opening_area_rate,partition_area_rate,number_of_openings,1_type,1_width,1_height,1_radius,1_peak_a_x,1_peak_a_y,1_peak_b_x,1_peak_b_y,1_peak_c_x,1_peak_c_y,2_type,2_width,2_height,2_radius,2_peak_a_x,2_peak_a_y,2_peak_b_x,2_peak_b_y,2_peak_c_x,2_peak_c_y,3_type,3_width,3_height,3_radius,3_peak_a_x,3_peak_a_y,3_peak_b_x,3_peak_b_y,3_peak_c_x,3_peak_c_y,4_type,4_width,4_height,4_radius,4_peak_a_x,4_peak_a_y,4_peak_b_x,4_peak_b_y,4_peak_c_x,4_peak_c_y
0,1,190,190,100,0.002770083,0.055401662,1,square,10,10,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,190,190,100,0.011080332,0.110803324,1,square,20,20,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,190,190,100,0.024930748,0.166204986,1,square,30,30,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,190,190,100,0.04432133,0.221606648,1,square,40,40,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,190,190,100,0.069252078,0.27700831,1,square,50,50,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,190,190,100,0.099722992,0.332409972,1,square,60,60,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,190,190,100,0.135734072,0.387811634,1,square,70,70,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,190,190,100,0.177285319,0.443213296,1,square,80,80,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,190,190,100,0.224376731,0.498614958,1,square,90,90,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,190,190,100,0.27700831,0.55401662,1,square,100,100,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,190,190,100,0.335180055,0.609418283,1,square,110,110,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,190,190,100,0.398891967,0.664819945,1,square,120,120,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,190,190,100,0.468144044,0.720221607,1,square,130,130,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,190,190,100,0.542936288,0.775623269,1,square,140,140,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,190,190,150,0.002770083,0.083102493,1,square,10,10,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,190,190,150,0.011080332,0.166204986,1,square,20,20,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,190,190,150,0.024930748,0.249307479,1,square,30,30,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,190,190,150,0.04432133,0.332409972,1,square,40,40,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,190,190,150,0.069252078,0.415512465,1,square,50,50,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,190,190,150,0.099722992,0.498614958,1,square,60,60,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,190,190,150,0.135734072,0.581717452,1,square,70,70,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,190,190,150,0.177285319,0.664819945,1,square,80,80,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,190,190,150,0.224376731,0.747922438,1,square,90,90,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,190,190,150,0.27700831,0.831024931,1,square,100,100,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,190,190,150,0.335180055,0.914127424,1,square,110,110,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,190,190,150,0.398891967,0.997229917,1,square,120,120,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,190,190,150,0.468144044,1.08033241,1,square,130,130,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,190,190,150,0.542936288,1.163434903,1,square,140,140,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,190,190,190,0.002770083,0.105263158,1,square,10,10,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30,190,190,190,0.011080332,0.210526316,1,square,20,20,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31,190,190,190,0.024930748,0.315789474,1,square,30,30,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32,190,190,190,0.04432133,0.421052632,1,square,40,40,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33,190,190,190,0.069252078,0.526315789,1,square,50,50,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,190,190,190,0.099722992,0.631578947,1,square,60,60,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,190,190,190,0.135734072,0.736842105,1,square,70,70,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36,190,190,190,0.177285319,0.842105263,1,square,80,80,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37,190,190,190,0.224376731,0.947368421,1,square,90,90,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38,190,190,190,0.27700831,1.052631579,1,square,100,100,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
